nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Dommartin;1380;1144;46.341667;4.991667;1.56
Dompierre-sur-Chalaronne;1400;1146;46.133333;4.9;1.53
Fareins;1480;1157;46.016667;4.766667;1.97
Feillens;1570;1159;46.333333;4.883333;1.57
Francheleins;1090;1165;46.066667;4.8;1.85
Frans;1480;1166;45.983333;4.783333;1.91
Garnerans;1140;1167;46.2;4.833333;1.74
Genouilleux;1090;1169;46.116667;4.783333;1.91
Gorrevod;1190;1175;46.416667;4.95;2.01
Grièges;1290;1179;46.25;4.85;1.68
Guéreins;1090;1183;46.1;4.783333;1.91
Illiat;1140;1188;46.183333;4.883333;1.57
Jassans-Riottier;1480;1194;45.983333;4.75;2.03
L'Abergement-Clémenciat;1400;1001;46.15;4.916667;1.46
La Chapelle-du-Châtelard;1240;1085;46.066667;5.033333;1.38
Laiz;1290;1203;46.25;4.883333;1.57
Lapeyrouse;1330;1207;45.983333;4.966667;1.29
Le Plantay;1330;1299;46.016667;5.083333;1.35
Lurcy;1090;1225;46.066667;4.766667;1.97
Manziat;1570;1231;46.35;4.9;1.61
Marlieux;1240;1235;46.066667;5.066667;0.97
Massieux;1600;1238;45.916667;4.833333;1.74
Messimy-sur-Saône;1480;1243;;;
Mézériat;1660;1246;46.233333;5.033333;1.23
Mionnay;1390;1248;45.9;4.933333;1.4
Miribel;1700;1249;;;
Misérieux;1600;1250;45.983333;4.816667;1.8
Mogneneins;1140;1252;46.133333;4.816667;1.8
Montceaux;1090;1258;46.1;4.8;1.85
Monthieux;1390;1261;45.95;4.933333;1.4
Montmerle-sur-Saône;1090;1263;46.083333;4.766667;1.97
Neuville-les-Dames;1400;1272;46.166667;5;1.17
Neyron;1700;1275;;;
Ozan;1190;1284;46.383333;4.916667;1.81
Parcieux;1600;1285;45.916667;4.816667;1.8
Perrex;1540;1291;46.233333;4.983333;1.23
Peyzieux-sur-Saône;1140;1295;46.116667;4.816667;1.8
Pont-de-Vaux;1190;1305;46.433333;4.933333;2.11
Pont-de-Veyle;1290;1306;46.266667;4.883333;1.57
Rancé;1390;1318;45.966667;4.866667;1.63
Relevant;1990;1319;46.083333;4.95;1.34
Replonges;1620;1320;46.3;4.883333;1.57
Reyrieux;1600;1322;45.933333;4.816667;1.8
Reyssouze;1190;1323;46.433333;4.916667;2.11
Romans;1400;1328;46.116667;5.033333;1.06
Saint-André-de-Bâgé;1380;1332;46.3;4.916667;1.46
Saint-André-de-Corcy;1390;1333;45.916667;4.95;1.34
Saint-André-d'Huiriat;1290;1334;46.216667;4.916667;1.46
Saint-André-le-Bouchoux;1240;1335;46.116667;5.083333;0.89
Saint-Bénigne;1190;1337;46.433333;4.966667;2.11
Saint-Bernard;1600;1339;;;
Saint-Cyr-sur-Menthon;1380;1343;46.266667;4.983333;1.23
Saint-Didier-de-Formans;1600;1347;45.95;4.783333;1.91
Saint-Didier-sur-Chalaronne;1140;1348;46.166667;4.816667;1.8
Sainte-Euphémie;1600;1353;45.966667;4.783333;1.91
Sainte-Olive;1330;1382;46.016667;4.933333;1.4
Saint-Etienne-sur-Chalaronne;1140;1351;46.15;4.866667;1.63
Saint-Etienne-sur-Reyssouze;1190;1352;46.4;5;1.91
Saint-Genis-sur-Menthon;1380;1355;46.283333;5.016667;1.34
Saint-Georges-sur-Renon;1400;1356;46.1;5.033333;1.06
Saint-Germain-sur-Renon;1240;1359;46.083333;5.05;1.09
Saint-Jean-de-Thurigneux;1390;1362;45.95;4.883333;1.57
Saint-Jean-sur-Veyle;1290;1365;46.25;4.916667;1.46
Saint-Julien-sur-Veyle;1540;1368;46.2;4.95;1.35
Saint-Laurent-sur-Saône;1620;1370;46.3;4.833333;1.74
Saint-Marcel;1390;1371;;;
Saint-Maurice-de-Beynost;1700;1376;45.833333;4.966667;1.51
Saint-Nizier-le-Désert;1320;1381;46.05;5.15;1.42
Saint-Paul-de-Varax;1240;1383;46.1;5.133333;0.72
Saint-Trivier-sur-Moignans;1990;1389;46.066667;4.9;1.51
Sandrans;1400;1393;46.066667;4.983333;1.23
Savigneux;1480;1398;46;4.85;2.19
Sermoyer;1190;1402;46.5;4.983333;2.51
Sulignat;1400;1412;46.166667;4.966667;1.29
Thil;1120;1418;45.816667;5.016667;1.61
Thoissey;1140;1420;46.166667;4.8;1.85
Toussieux;1600;1423;45.966667;4.833333;1.74
Tramoyes;1390;1424;45.866667;4.966667;1.7
Trévoux;1600;1427;45.933333;4.766667;1.97
Valeins;1140;1428;46.116667;4.866667;1.63
Versailleux;1330;1434;45.983333;5.1;1.59
Vésines;1570;1439;46.35;4.866667;1.63
Villars-les-Dombes;1330;1443;46;5.016667;1.12
Villeneuve;1480;1446;;;
Villette-sur-Ain;1320;1449;;;
Vonnas;1540;1457;46.216667;5;1.17
Achery;2800;2002;49.683333;3.383333;0.63
Aguilcourt;2190;2005;49.4;3.966667;1.92
Aizelles;2820;2007;49.483333;3.816667;1.26
Amifontaine;2190;2013;49.483333;3.916667;1.7
Andelain;2800;2016;49.633333;3.366667;0.91
Anguilcourt-le-Sart;2800;2017;49.683333;3.433333;1.02
Anizy-le-Château;2320;2018;49.5;3.45;0.36
Archon;2360;2021;49.741667;4.116667;-1
Arrancy;2860;2024;49.483333;3.75;1.87
Assis-sur-Serre;2270;2027;49.683333;3.566667;0.56
Athies-sous-Laon;2840;2028;49.566667;3.683333;1.27
Aubigny-en-Laonnois;2820;2033;49.5;3.8;1.19
Aulnois-sous-Laon;2000;2037;49.616667;3.6;1.15
Barenton-Bugny;2000;2046;49.633333;3.65;1.73
Barenton-Cel;2000;2047;49.65;3.633333;1.79
Barenton-sur-Serre;2270;2048;49.666667;3.683333;1.38
Bassoles-Aulers;2380;2052;49.533333;3.383333;1.39
Beaurieux;2160;2058;49.4;3.733333;0.9
Berlise;2340;2069;49.666667;4.116667;2.57
Berrieux;2820;2072;49.483333;3.85;1.41
Berry-au-Bac;2190;2073;49.4;3.9;1.66
Bertaucourt-Epourdon;2800;2074;49.616667;3.383333;1.08
Bertricourt;2190;2076;49.383333;4;2.06
Besny-et-Loizy;2870;2080;49.6;3.583333;1.32
Bièvres;2860;2088;49.5;3.716667;1.12
Bois-lès-Pargny;2270;2096;49.716667;3.65;0.84
Boncourt;2350;2097;49.616667;3.95;1.99
Bouconville-Vauclair;2860;2102;;;
Bouffignereux;2160;2104;49.366667;3.85;2.01
Bourg-et-Comin;2160;2106;49.4;3.65;1.05
Bourguignon-sous-Montbavin;2000;2108;;;
Brancourt-en-Laonnois;2320;2111;49.516667;3.416667;0.78
Braye-en-Laonnois;2000;2115;49.433333;3.616667;1.69
Brie;2870;2122;;;
Brunehamel;2360;2126;49.766667;4.183333;2.86
Bruyères-et-Montbérault;2860;2128;49.516667;3.666667;0.62
Bucy-lès-Cerny;2870;2132;49.583333;3.516667;0.56
Bucy-lès-Pierrepont;2350;2133;49.65;3.9;1.62
Cerny-en-Laonnois;2860;2150;49.45;3.666667;0.93
Cerny-lès-Bucy;2870;2151;49.583333;3.533333;0.35
Cessières;2320;2153;49.566667;3.483333;1.62
Chaillevois;2000;2155;49.516667;3.516667;0.9
Chalandry;2270;2156;49.683333;3.633333;0.61
Chambry;2000;2157;49.6;3.65;1.39
Chamouille;2860;2158;49.466667;3.666667;0.61
Chaourse;2340;2160;49.7;4;2.06
Charmes;2800;2165;49.65;3.383333;0.63
Chaudardes;2160;2171;49.383333;3.783333;1.12
Chérêt;2860;2177;49.516667;3.683333;0.7
Chermizy-Ailles;2860;2178;49.466667;3.733333;1.58
Chéry-lès-Pouilly;2000;2180;49.65;3.6;1.61
Chéry-lès-Rozoy;2360;2181;49.716667;4.083333;2.42
Chevregny;2000;2183;49.466667;3.583333;1.09
Chivres-en-Laonnois;2350;2189;49.633333;3.85;1.41
Chivy-lès-Etouvelles;2000;2191;49.516667;3.583333;0.39
Clacy-et-Thierret;2000;2196;49.55;3.566667;0.17
Clermont-les-Fermes;2340;2200;49.666667;3.95;1.84
Colligis-Crandelain;2860;2205;49.483333;3.65;0.53
Concevreux;2160;2208;49.383333;3.783333;1.12
Condé-sur-Suippe;2190;2211;49.416667;3.95;1.84
Corbeny;2820;2215;49.466667;3.816667;1.26
Coucy-lès-Eppes;2840;2218;49.55;3.766667;1.13
Courbes;2800;2222;49.683333;3.45;1.37
Courtrizy-et-Fussigny;2820;2229;49.516667;3.8;1.19
Couvron-et-Aumencourt;2270;2231;49.65;3.516667;1.39
Craonne;2160;2234;49.433333;3.783333;1.21
Craonnelle;2160;2235;49.433333;3.766667;1.04
Crécy-sur-Serre;2270;2237;49.7;3.616667;0.62
Crépy;2870;2238;;;
Cuiry-lès-Chaudardes;2160;2250;49.383333;3.766667;1.04
Cuiry-lès-Iviers;2360;2251;;;
Cuissy-et-Geny;2160;2252;49.416667;3.7;0.75
Dagny-Lambercy;2140;2256;49.766667;4.033333;2.21
Danizy;2800;2260;49.65;3.383333;0.63
Dercy;2270;2261;49.7;3.683333;1.29
Deuillet;2700;2262;49.633333;3.35;1.47
Dizy-le-Gros;2340;2264;49.633333;4.016667;2.13
Dohis;2360;2265;49.75;4.133333;2.64
Dolignon;2360;2266;49.716667;4.083333;2.42
Ebouleau;2350;2274;49.666667;3.866667;1.48
Eppes;2840;2282;49.55;3.733333;0.9
Etouvelles;2000;2294;49.533333;3.583333;0.24
Evergnicourt;2190;2299;49.433333;4.033333;2.21
Faucoucourt;2320;2301;49.533333;3.466667;0.7
Festieux;2840;2309;49.516667;3.75;1.29
Fourdrain;2870;2329;49.6;3.466667;1.75
Fressancourt;2800;2335;49.616667;3.416667;1.17
Gernicourt;2160;2344;49.4;3.866667;2.25
Gizy;2350;2346;49.6;3.766667;1.29
Goudelancourt-lès-Berrieux;2820;2349;;;
Goudelancourt-lès-Pierrepont;2350;2350;;;
Grandrieux;2360;2354;49.733333;4.183333;2.86
Guignicourt;2190;2360;49.433333;3.966667;1.92
Guyencourt;2160;2364;49.35;3.833333;1.82
Jumigny;2160;2396;49.416667;3.716667;0.82
Juvincourt-et-Damary;2190;2399;49.45;3.9;1.62
La Fère;2800;2304;49.666667;3.366667;0.7
